Play,Type,PlayerLinenumber,ActSceneLine,Player,PlayerLine
Alls well that ends well,Comedy,1,1.1.1,COUNTESS,"In delivering my son from me, I bury a second husband."
Alls well that ends well,Comedy,2,1.1.2,BERTRAM,"And I in going, madam, weep o'er my father's death"
Alls well that ends well,Comedy,2,1.1.3,BERTRAM,"anew: but I must attend his majesty's command, to"
Alls well that ends well,Comedy,2,1.1.4,BERTRAM,"whom I am now in ward, evermore in subjection."
Alls well that ends well,Comedy,3,1.1.5,LAFEU,"You shall find of the king a husband, madam, you,"
Alls well that ends well,Comedy,3,1.1.6,LAFEU,"sir, a father: he that so generally is at all times"
Alls well that ends well,Comedy,3,1.1.7,LAFEU,"good must of necessity hold his virtue to you, whose"
Alls well that ends well,Comedy,3,1.1.8,LAFEU,worthiness would stir it up where it wanted rather
Alls well that ends well,Comedy,3,1.1.9,LAFEU,than lack it where there is such abundance.
Alls well that ends well,Comedy,4,1.1.10,COUNTESS,What hope is there of his majesty's amendment?
Alls well that ends well,Comedy,5,1.1.11,LAFEU,"He hath abandoned his physicians, madam, under whose"
Alls well that ends well,Comedy,5,1.1.12,LAFEU,"practises he hath persecuted time with hope, and"
Alls well that ends well,Comedy,5,1.1.13,LAFEU,finds no other advantage in the process but only the
Alls well that ends well,Comedy,5,1.1.14,LAFEU,losing of hope by time.
Alls well that ends well,Comedy,6,1.1.15,COUNTESS,"This young gentlewoman had a father,--O, that"
Alls well that ends well,Comedy,6,1.1.16,COUNTESS,'had'! how sad a passage 'tis!--whose skill was
Alls well that ends well,Comedy,6,1.1.17,COUNTESS,"almost as great as his honesty, had it stretched so"
Alls well that ends well,Comedy,6,1.1.18,COUNTESS,"far, would have made nature immortal, and death"
Alls well that ends well,Comedy,6,1.1.19,COUNTESS,"should have play for lack of work. Would, for the"
Alls well that ends well,Comedy,6,1.1.20,COUNTESS,"king's sake, he were living! I think it would be"
Alls well that ends well,Comedy,6,1.1.21,COUNTESS,the death of the king's disease.
Alls well that ends well,Comedy,7,1.1.22,LAFEU,"How called you the man you speak of, madam?"
Alls well that ends well,Comedy,8,1.1.23,COUNTESS,"He was famous, sir, in his profession, and it was"
Alls well that ends well,Comedy,8,1.1.24,COUNTESS,his great right to be so: Gerard de Narbon.
Alls well that ends well,Comedy,9,1.1.25,LAFEU,"He was excellent indeed, madam: the king very"
Alls well that ends well,Comedy,9,1.1.26,LAFEU,lately spoke of him admiringly and mourningly: he
Alls well that ends well,Comedy,9,1.1.27,LAFEU,"was skilful enough to have lived still, if knowledge"
Alls well that ends well,Comedy,9,1.1.28,LAFEU,could be set up against mortality.
Alls well that ends well,Comedy,10,1.1.29,BERTRAM,"What is it, my good lord, the king languishes of?"
Alls well that ends well,Comedy,11,1.1.30,LAFEU,"A fistula, my lord."
Alls well that ends well,Comedy,12,1.1.31,BERTRAM,I heard not of it before.
Alls well that ends well,Comedy,13,1.1.32,LAFEU,I would it were not notorious. Was this gentlewoman
Alls well that ends well,Comedy,13,1.1.33,LAFEU,the daughter of Gerard de Narbon?
Alls well that ends well,Comedy,14,1.1.34,COUNTESS,"His sole child, my lord, and bequeathed to my"
Alls well that ends well,Comedy,14,1.1.35,COUNTESS,overlooking. I have those hopes of her good that
Alls well that ends well,Comedy,14,1.1.36,COUNTESS,"her education promises, her dispositions she"
Alls well that ends well,Comedy,14,1.1.37,COUNTESS,"inherits, which makes fair gifts fairer, for where"
