Antony and Cleopatra,Tragedy,1,1.1.1,PHILO,"Nay, but this dotage of our general's"
Antony and Cleopatra,Tragedy,1,1.1.2,PHILO,"O'erflows the measure: those his goodly eyes,"
Antony and Cleopatra,Tragedy,1,1.1.3,PHILO,That o'er the files and musters of the war
Antony and Cleopatra,Tragedy,1,1.1.4,PHILO,"Have glow'd like plated Mars, now bend, now turn,"
Antony and Cleopatra,Tragedy,1,1.1.5,PHILO,The office and devotion of their view
Antony and Cleopatra,Tragedy,1,1.1.6,PHILO,"Upon a tawny front: his captain's heart,"
Antony and Cleopatra,Tragedy,1,1.1.7,PHILO,Which in the scuffles of great fights hath burst
Antony and Cleopatra,Tragedy,1,1.1.8,PHILO,"The buckles on his breast, reneges all temper,"
Antony and Cleopatra,Tragedy,1,1.1.9,PHILO,And is become the bellows and the fan
Antony and Cleopatra,Tragedy,1,1.1.10,PHILO,To cool a gipsy's lust.
Antony and Cleopatra,Tragedy,1,1.1.11,PHILO,"Look, where they come:"
Antony and Cleopatra,Tragedy,1,1.1.12,PHILO,"Take but good note, and you shall see in him."
Antony and Cleopatra,Tragedy,1,1.1.13,PHILO,The triple pillar of the world transform'd
Antony and Cleopatra,Tragedy,1,1.1.14,PHILO,Into a strumpet's fool: behold and see.
Antony and Cleopatra,Tragedy,2,1.1.15,CLEOPATRA,"If it be love indeed, tell me how much."
Antony and Cleopatra,Tragedy,3,1.1.16,MARK ANTONY,There's beggary in the love that can be reckon'd.
Antony and Cleopatra,Tragedy,4,1.1.17,CLEOPATRA,I'll set a bourn how far to be beloved.
Antony and Cleopatra,Tragedy,5,1.1.18,MARK ANTONY,"Then must thou needs find out new heaven, new earth."
Antony and Cleopatra,Tragedy,6,1.1.19,Attendant,"News, my good lord, from Rome."
Antony and Cleopatra,Tragedy,7,1.1.20,MARK ANTONY,Grates me: the sum.
Antony and Cleopatra,Tragedy,8,1.1.21,CLEOPATRA,"Nay, hear them, Antony:"
Antony and Cleopatra,Tragedy,8,1.1.22,CLEOPATRA,"Fulvia perchance is angry, or, who knows"
Antony and Cleopatra,Tragedy,8,1.1.23,CLEOPATRA,If the scarce-bearded Caesar have not sent
Antony and Cleopatra,Tragedy,8,1.1.24,CLEOPATRA,"His powerful mandate to you, 'Do this, or this,"
Antony and Cleopatra,Tragedy,8,1.1.25,CLEOPATRA,"Take in that kingdom, and enfranchise that,"
Antony and Cleopatra,Tragedy,8,1.1.26,CLEOPATRA,"Perform 't, or else we damn thee.'"
Antony and Cleopatra,Tragedy,9,1.1.27,MARK ANTONY,"How, my love!"
Antony and Cleopatra,Tragedy,10,1.1.28,CLEOPATRA,"Perchance! nay, and most like:"
Antony and Cleopatra,Tragedy,10,1.1.29,CLEOPATRA,"You must not stay here longer, your dismission"
Antony and Cleopatra,Tragedy,10,1.1.30,CLEOPATRA,"Is come from Caesar, therefore hear it, Antony."
Antony and Cleopatra,Tragedy,10,1.1.31,CLEOPATRA,Where's Fulvia's process? Caesar's I would say? both?
Antony and Cleopatra,Tragedy,10,1.1.32,CLEOPATRA,"Call in the messengers. As I am Egypt's queen,"
Antony and Cleopatra,Tragedy,10,1.1.33,CLEOPATRA,"Thou blushest, Antony, and that blood of thine"
Antony and Cleopatra,Tragedy,10,1.1.34,CLEOPATRA,Is Caesar's homager: else so thy cheek pays shame
Antony and Cleopatra,Tragedy,10,1.1.35,CLEOPATRA,When shrill-tongued Fulvia scolds. The messengers!
Antony and Cleopatra,Tragedy,11,1.1.36,MARK ANTONY,"Let Rome in Tiber melt, and the wide arch"
Antony and Cleopatra,Tragedy,11,1.1.37,MARK ANTONY,Of the ranged empire fall! Here is my space.
Antony and Cleopatra,Tragedy,11,1.1.38,MARK ANTONY,Kingdoms are clay: our dungy earth alike
Antony and Cleopatra,Tragedy,11,1.1.39,MARK ANTONY,Feeds beast as man: the nobleness of life
Antony and Cleopatra,Tragedy,11,1.1.40,MARK ANTONY,"Is to do thus, when such a mutual pair"
Antony and Cleopatra,Tragedy,11,1.1.41,MARK ANTONY,"And such a twain can do't, in which I bind,"
Antony and Cleopatra,Tragedy,11,1.1.42,MARK ANTONY,"On pain of punishment, the world to weet"
Antony and Cleopatra,Tragedy,11,1.1.43,MARK ANTONY,We stand up peerless.
Antony and Cleopatra,Tragedy,12,1.1.44,CLEOPATRA,Excellent falsehood!
Antony and Cleopatra,Tragedy,12,1.1.45,CLEOPATRA,"Why did he marry Fulvia, and not love her?"
Antony and Cleopatra,Tragedy,12,1.1.46,CLEOPATRA,"I'll seem the fool I am not, Antony"
Antony and Cleopatra,Tragedy,12,1.1.47,CLEOPATRA,Will be himself.
Antony and Cleopatra,Tragedy,13,1.1.48,MARK ANTONY,But stirr'd by Cleopatra.
Antony and Cleopatra,Tragedy,13,1.1.49,MARK ANTONY,"Now, for the love of Love and her soft hours,"
Antony and Cleopatra,Tragedy,13,1.1.50,MARK ANTONY,Let's not confound the time with conference harsh:
Antony and Cleopatra,Tragedy,13,1.1.51,MARK ANTONY,There's not a minute of our lives should stretch
Antony and Cleopatra,Tragedy,13,1.1.52,MARK ANTONY,Without some pleasure now. What sport tonight?
Antony and Cleopatra,Tragedy,14,1.1.53,CLEOPATRA,Hear the ambassadors.
Antony and Cleopatra,Tragedy,15,1.1.54,MARK ANTONY,"Fie, wrangling queen!"
Antony and Cleopatra,Tragedy,15,1.1.55,MARK ANTONY,"Whom every thing becomes, to chide, to laugh,"
Antony and Cleopatra,Tragedy,15,1.1.56,MARK ANTONY,"To weep, whose every passion fully strives"
Antony and Cleopatra,Tragedy,15,1.1.57,MARK ANTONY,"To make itself, in thee, fair and admired!"
Antony and Cleopatra,Tragedy,15,1.1.58,MARK ANTONY,"No messenger, but thine, and all alone"
Antony and Cleopatra,Tragedy,15,1.1.59,MARK ANTONY,To-night we'll wander through the streets and note
Antony and Cleopatra,Tragedy,15,1.1.60,MARK ANTONY,"The qualities of people. Come, my queen,"
Antony and Cleopatra,Tragedy,15,1.1.61,MARK ANTONY,Last night you did desire it: speak not to us.
Antony and Cleopatra,Tragedy,16,1.1.62,DEMETRIUS,Is Caesar with Antonius prized so slight?
Antony and Cleopatra,Tragedy,17,1.1.63,PHILO,"Sir, sometimes, when he is not Antony,"
Antony and Cleopatra,Tragedy,17,1.1.64,PHILO,He comes too short of that great property
Antony and Cleopatra,Tragedy,17,1.1.65,PHILO,Which still should go with Antony.
Antony and Cleopatra,Tragedy,18,1.1.66,DEMETRIUS,I am full sorry
Antony and Cleopatra,Tragedy,18,1.1.67,DEMETRIUS,"That he approves the common liar, who"
Antony and Cleopatra,Tragedy,18,1.1.68,DEMETRIUS,Thus speaks of him at Rome: but I will hope
Antony and Cleopatra,Tragedy,18,1.1.69,DEMETRIUS,Of better deeds to-morrow. Rest you happy!
Antony and Cleopatra,Tragedy,1,1.2.1,CHARMIAN,"Lord Alexas, sweet Alexas, most any thing Alexas,"
Antony and Cleopatra,Tragedy,1,1.2.2,CHARMIAN,"almost most absolute Alexas, where's the soothsayer"
Antony and Cleopatra,Tragedy,1,1.2.3,CHARMIAN,"that you praised so to the queen? O, that I knew"
Antony and Cleopatra,Tragedy,1,1.2.4,CHARMIAN,"this husband, which, you say, must charge his horns"
Antony and Cleopatra,Tragedy,1,1.2.5,CHARMIAN,with garlands!
Antony and Cleopatra,Tragedy,2,1.2.6,ALEXAS,Soothsayer!
Antony and Cleopatra,Tragedy,3,1.2.7,Soothsayer,Your will?
Antony and Cleopatra,Tragedy,4,1.2.8,CHARMIAN,"Is this the man? Is't you, sir, that know things?"
Antony and Cleopatra,Tragedy,5,1.2.9,Soothsayer,In nature's infinite book of secrecy
Antony and Cleopatra,Tragedy,5,1.2.10,Soothsayer,A little I can read.
Antony and Cleopatra,Tragedy,6,1.2.11,ALEXAS,Show him your hand.
Antony and Cleopatra,Tragedy,7,1.2.12,DOMITIUS ENOBARBUS,"Bring in the banquet quickly, wine enough"
Antony and Cleopatra,Tragedy,7,1.2.13,DOMITIUS ENOBARBUS,Cleopatra's health to drink.
Antony and Cleopatra,Tragedy,8,1.2.14,CHARMIAN,"Good sir, give me good fortune."
Antony and Cleopatra,Tragedy,9,1.2.15,Soothsayer,"I make not, but foresee."
Antony and Cleopatra,Tragedy,10,1.2.16,CHARMIAN,"Pray, then, foresee me one."
Antony and Cleopatra,Tragedy,11,1.2.17,Soothsayer,You shall be yet far fairer than you are.
Antony and Cleopatra,Tragedy,12,1.2.18,CHARMIAN,He means in flesh.
Antony and Cleopatra,Tragedy,13,1.2.19,IRAS,"No, you shall paint when you are old."
Antony and Cleopatra,Tragedy,14,1.2.20,CHARMIAN,Wrinkles forbid!
Antony and Cleopatra,Tragedy,15,1.2.21,ALEXAS,"Vex not his prescience, be attentive."
Antony and Cleopatra,Tragedy,16,1.2.22,CHARMIAN,Hush!
Antony and Cleopatra,Tragedy,17,1.2.23,Soothsayer,You shall be more beloving than beloved.
Antony and Cleopatra,Tragedy,18,1.2.24,CHARMIAN,I had rather heat my liver with drinking.
Antony and Cleopatra,Tragedy,19,1.2.25,ALEXAS,"Nay, hear him."
Antony and Cleopatra,Tragedy,20,1.2.26,CHARMIAN,"Good now, some excellent fortune! Let me be married"
Antony and Cleopatra,Tragedy,20,1.2.27,CHARMIAN,"to three kings in a forenoon, and widow them all:"
Antony and Cleopatra,Tragedy,20,1.2.28,CHARMIAN,"let me have a child at fifty, to whom Herod of Jewry"
Antony and Cleopatra,Tragedy,20,1.2.29,CHARMIAN,may do homage: find me to marry me with Octavius
Antony and Cleopatra,Tragedy,20,1.2.30,CHARMIAN,"Caesar, and companion me with my mistress."
Antony and Cleopatra,Tragedy,21,1.2.31,Soothsayer,You shall outlive the lady whom you serve.
Antony and Cleopatra,Tragedy,22,1.2.32,CHARMIAN,O excellent! I love long life better than figs.
Antony and Cleopatra,Tragedy,23,1.2.33,Soothsayer,You have seen and proved a fairer former fortune
Antony and Cleopatra,Tragedy,23,1.2.34,Soothsayer,Than that which is to approach.
Antony and Cleopatra,Tragedy,24,1.2.35,CHARMIAN,Then belike my children shall have no names:
Antony and Cleopatra,Tragedy,24,1.2.36,CHARMIAN,"prithee, how many boys and wenches must I have?"
Antony and Cleopatra,Tragedy,25,1.2.37,Soothsayer,If every of your wishes had a womb.
Antony and Cleopatra,Tragedy,25,1.2.38,Soothsayer,"And fertile every wish, a million."
Antony and Cleopatra,Tragedy,26,1.2.39,CHARMIAN,"Out, fool! I forgive thee for a witch."
Antony and Cleopatra,Tragedy,27,1.2.40,ALEXAS,You think none but your sheets are privy to your wishes.
Antony and Cleopatra,Tragedy,28,1.2.41,CHARMIAN,"Nay, come, tell Iras hers."
Antony and Cleopatra,Tragedy,29,1.2.42,ALEXAS,We'll know all our fortunes.
Antony and Cleopatra,Tragedy,30,1.2.43,DOMITIUS ENOBARBUS,"Mine, and most of our fortunes, to-night, shall"
Antony and Cleopatra,Tragedy,30,1.2.44,DOMITIUS ENOBARBUS,be--drunk to bed.
Antony and Cleopatra,Tragedy,31,1.2.45,IRAS,"There's a palm presages chastity, if nothing else."
Antony and Cleopatra,Tragedy,32,1.2.46,CHARMIAN,E'en as the o'erflowing Nilus presageth famine.
Antony and Cleopatra,Tragedy,33,1.2.47,IRAS,"Go, you wild bedfellow, you cannot soothsay."
Antony and Cleopatra,Tragedy,34,1.2.48,CHARMIAN,"Nay, if an oily palm be not a fruitful"
Antony and Cleopatra,Tragedy,34,1.2.49,CHARMIAN,"prognostication, I cannot scratch mine ear. Prithee,"
Antony and Cleopatra,Tragedy,34,1.2.50,CHARMIAN,tell her but a worky-day fortune.
Antony and Cleopatra,Tragedy,35,1.2.51,Soothsayer,Your fortunes are alike.
Antony and Cleopatra,Tragedy,36,1.2.52,IRAS,"But how, but how? give me particulars."
Antony and Cleopatra,Tragedy,37,1.2.53,Soothsayer,I have said.
Antony and Cleopatra,Tragedy,38,1.2.54,IRAS,Am I not an inch of fortune better than she?
Antony and Cleopatra,Tragedy,39,1.2.55,CHARMIAN,"Well, if you were but an inch of fortune better than"
Antony and Cleopatra,Tragedy,39,1.2.56,CHARMIAN,"I, where would you choose it?"
Antony and Cleopatra,Tragedy,40,1.2.57,IRAS,Not in my husband's nose.
Antony and Cleopatra,Tragedy,41,1.2.58,CHARMIAN,"Our worser thoughts heavens mend! Alexas,--come,"
Antony and Cleopatra,Tragedy,41,1.2.59,CHARMIAN,"his fortune, his fortune! O, let him marry a woman"
Antony and Cleopatra,Tragedy,41,1.2.60,CHARMIAN,"that cannot go, sweet Isis, I beseech thee! and let"
Antony and Cleopatra,Tragedy,41,1.2.61,CHARMIAN,"her die too, and give him a worse! and let worst"
Antony and Cleopatra,Tragedy,41,1.2.62,CHARMIAN,"follow worse, till the worst of all follow him"
Antony and Cleopatra,Tragedy,41,1.2.63,CHARMIAN,"laughing to his grave, fifty-fold a cuckold! Good"
Antony and Cleopatra,Tragedy,41,1.2.64,CHARMIAN,"Isis, hear me this prayer, though thou deny me a"
Antony and Cleopatra,Tragedy,41,1.2.65,CHARMIAN,"matter of more weight, good Isis, I beseech thee!"
Antony and Cleopatra,Tragedy,42,1.2.66,IRAS,"Amen. Dear goddess, hear that prayer of the people!"
Antony and Cleopatra,Tragedy,42,1.2.67,IRAS,"for, as it is a heartbreaking to see a handsome man"
Antony and Cleopatra,Tragedy,42,1.2.68,IRAS,"loose-wived, so it is a deadly sorrow to behold a"
Antony and Cleopatra,Tragedy,42,1.2.69,IRAS,"foul knave uncuckolded: therefore, dear Isis, keep"
Antony and Cleopatra,Tragedy,42,1.2.70,IRAS,"decorum, and fortune him accordingly!"
Antony and Cleopatra,Tragedy,43,1.2.71,CHARMIAN,Amen.
Antony and Cleopatra,Tragedy,44,1.2.72,ALEXAS,"Lo, now, if it lay in their hands to make me a"
Antony and Cleopatra,Tragedy,44,1.2.73,ALEXAS,"cuckold, they would make themselves whores, but"
